Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Currently Renewing 	BUS2017-02123	M K AMERICA INC 	1590 S ANAHEIM BLVD D, 92805 	DISTRIBUTION CENTER 
Finaled 	BUS2017-02124	PEACHEE NAILS AND SPA 	226 S EUCLID ST, 92802 	BEAUTY SALON- MANICURE AND PEDICURE **NO MASSAGE** (EMPLOYEES ARE ALL INDEPENDENT)  
Currently Renewing 	BUS2017-02125	PREMIERE MEDIA GROUP INC 	2912 E BLUE STAR ST, 92806 	MARKETING & EVENT PRODUCTION 
Currently Renewing 	BUS2017-02126	NEBRASKA AUTO SALES 	851 N ANAHEIM BLVD, 92805 	RETAIL USED CAR SALES 
Finaled 	BUS2017-02127	INLAND VALLEY HEATING AND AIR 	35217 MOUNTAIN VIEW ST, 47970 	Warm-Air Heating, Ventilating and Air Cond CANCELLED 
Currently Renewing 	BUS2017-02128	CREME DE LA CREME SERVICES LLC 	1500 S SUNKIST ST I,J, 92806 	DEVELOPMENT OFFICE FOR TECHNOLOGY SERVICES 
Active 	BUS2017-02129	CHAMPION PAVING INC 	1165-1175 N VAN HORNE WAY, 92805 	EARTHWORK & PAVING CONTRACTOR 
Active 	BUS2017-02130	8198 GGMG ENTERPRISES LLC 	918 E VERMONT AVE, 92805 	NON RESIDENTIAL PROPERTY OWNER 
Active 	BUS2017-02131	MODERNORTHO LLC 	1630 S SINCLAIR ST, 92806 	DISTRIBUTION OF MEDICAL DEVICES 
Currently Renewing 	BUS2017-02132	D S R LEASING 	2100 S EUCLID ST, 92802 	AUTOMOBILE DEALERSHIP AND BROKERAGE 
Currently Renewing 	BUS2017-02133	ALUM WORKS INC 	16350 VENTURA BLVD D103, 37088 	General Building Contractor 
Currently Renewing 	BUS2017-02134	MELROSE MOVING INC 	2400 E KATELLA AVE 800, 92806 	OFFICE USE ONLY FOR MOVING COMPANY SERVICES (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02135	TEAM RELIANT ANAHEIM 	1149 N FOUNTAIN WAY, 92806 	WHOLESALE OF CASTERS & WHEELS 
Currently Renewing 	BUS2017-02136	PEREZ HAULING AND JUNK REMOVAL 	7320 BOCK AVE, 48986 	JUNK REMOVAL SERVICES *NO EMPLOYEES* 
Currently Renewing 	BUS2017-02137	V3 ELECTRIC INC 	4925 ROBERT J MATHEWS PKWY 100, 69339 	Electrical Contractor 
Currently Renewing 	BUS2017-02138	MARTINEZ ROOFING 	3136 BOSTON WAY, 47540 	Roofing Contractor 
Currently Renewing 	BUS2017-02139	UNITED PENSION AND PROFESSIONAL CON 	2331 W LINCOLN AVE 300, 92801 	CONSULTING SERVICES  
Finaled 	BUS2017-02140	MUSTACHE LLC 	20 JAY ST 1100, 22395 	FILM PRODUCTION @ ANAHEIM CONVENTION CENTER 06/21/2017-06/23/2017 *5 EMPLOYEES* 
Currently Renewing 	BUS2017-02141	BACON NATION 	12710 CARNATION ST,  	CATERING TRUCKS/FOOD TRUCKS **NO STREET VENDING-PRIVATE EVENTS ONLY** 
Active 	BUS2017-02142	VENTURE CARE 	1740 W BALL RD 2, 92804 	OFFICE USE ONLY FOR NURSE - HEALTHCARE SERVICES  
Finaled 	BUS2017-02143	RELAXING SPA (NGUYEN, TERESA L) 	410 S EUCLID ST 3, 92802 	CERTIFIED MASSAGE THERAPIST- NGUYEN, TERESA LE) CMTC# 13812 EXP: 09/13/2018 
Finaled 	BUS2017-02144	CARSPECS USA  	1678 W BROADWAY 101, 92802 	AUTO BROKER, WHOLESALE & RETAIL AUTO DEALER 
Active 	BUS2017-02145	CALIFORNIA NEURODIAGNOSTICS LLC 	1001 BAYHILL DR 28, 82233 	AMBULATORY DIAGNOSTIC TESTING 
Currently Renewing 	BUS2017-02146	IMPERIAL STEEL ERECTORS INC 	2032 W CRIS AVE, 92804 	OFFICE USE ONLY FOR OFF-SITE ORNAMENTAL & STEEL STRUCTURAL SERVICES 
Finaled 	BUS2017-02147	THE WEST AVENUE 	9100 WILSHIRE BLVD 210 W, 02718 	OUTDOOR EVENT @ 2406 E KATELLA AVE (SEP2017-00081) EVENT DATES: (06/16/2017- 5 VENDORS) (06/23/2017 - 2 VENDORS)  
Currently Renewing 	BUS2017-02148	NUOVATERRA INC 	1601 S SINCLAIR ST E, 92806 	WHOLESALE OF BUILDING MATERIAL 
Active 	BUS2017-02149	JAYNES BROTHERS CONSTRUCTION INC 	30941 AGOURA ROAD SUITE 128, 87077 	General Engineering Contractor 
Currently Renewing 	BUS2017-02150	CASTELLON INVESTMENT ENTERPRISES IN 	11570 LA PAZ ST, 02464 	General Building Contractor 
Finaled 	BUS2017-02151	J&R DESIGN PLANNING & ENGINEERING  	2115 W CRESCENT AVE 261, 92801 	OFFICE USE FOR ARCHITECTURE & ENGINEERING SERVICES (NO EMPLOYEES) 
Finaled 	BUS2017-02152	ABLE GLASS SERVICES 	13025 HALLDALE AVE, 07681 	General Engineering Contractor 
Active 	BUS2017-02153	SOUTHEAST ALHAMBRA LLC 	925 W LA PALMA AVE 1, 92801 	APARTMENT BUILDING (10 UNITS) 
Active 	BUS2017-02154	TRADITIONAL TILE AND MARBLE INC 	1441 N RED GUM ST F,G, 92806 	TILE CONTRACTOR 
Currently Renewing 	BUS2017-02155	CHASE LITIGATION SERVICES INC 	2300 E KATELLA AVE 300, 92806 	LITIGATION SUPPORT, COURT REPORTERS, VIDEO CONFERENCE, MEETING ROOMS, INTERPRETERS 
Currently Renewing 	BUS2017-02156	MAVERICK CAULKING & COATINGS INC 	1210 N LAS BRISAS ST, 92806 	CAULKING & COATINGS/SYNTHETIC PRODUCTS CONTRACTOR  
Currently Renewing 	BUS2017-02157	THRIFTY LAUNDRY NGUYEN 	2940 W LINCOLN AVE G, 92804 	VENDING MACHINE  
Currently Renewing 	BUS2017-02158	CENTURY ELECTRIC INC 	7372 WALNUT AVE J, 49945 	General Building Contractor 
Active 	BUS2017-02159	CARLS JR 124 	1189 S STATE COLLEGE BLVD, 92805 	FAST FOOD RESTAURANT 
Active 	BUS2017-02160	BOBBY J'S SHARPENING  	2330 E PURITAN LN, 92806 	OFFICE USE ONLY FOR SHARPENING OF HAIR STYLISTS SHEARS (NO EMPLOYEES)  
Currently Renewing 	BUS2017-02161	DIAZ GARAY CONSTRUCTION SERVICES 	13400 RIVERSIDE DR 105, 87812 	General Building Contractor 
Currently Renewing 	BUS2017-02162	KIP BARRYS CABARET 	400 W DISNEY WAY 166, 92802 	RETAIL OF MAGIC ITEMS 
Currently Renewing 	BUS2017-02163	ARCO PLUMBING INC 	3183 WILSHIRE BLVD 196-K29, 33844 	Plumbing Contractor 
Currently Renewing 	BUS2017-02164	CHAMPION AIRE HEATING AND AIR CONDI 	115 N YALE AVE, 45788 	Warm-Air Heating, Ventilating and Air Cond 
Currently Renewing 	BUS2017-02165	OPTIMUM SOLAR POWER 	33400 WALHAM PL, 42456 	Solar Contractor 
Active 	BUS2017-02166	ONESIMUS MENTORING INC 	5340 E LA PALMA AVE, 92807 	SUPPORT GROUP FOR MENTORING / COUNSELING (LESS THAN 10 AT ONE TIME)  
Finaled 	BUS2017-02167	SNAP LLC 	63 MARKET ST, 03143 	KIOSK@ANAHEIM CONVENTION CENTER FOR THE PROMOTION OF WEARABLE SUNGLASSES AT VIDCON 6/22/2017-6/24/2017 (2 EMPLOYEES) 
Active 	BUS2017-02168	OUT OF THE PARK PIZZA 	5638 E LA PALMA AVE, 92807 	PROMOTER 
Finaled 	BUS2017-02169	OUT OF THE PARK PIZZA 	5638 E LA PALMA AVE, 92807 	ROCK SHOW AT OUT OF THE PARK PIZZA *SEP2017-00021* 5 VENDORS 07/21/2017-07/22/2017  
Active 	BUS2017-02170	SAVINGS WITH TYNA 	1209 N RIVIERA ST, 92801 	OFFICE USE ONLY FOR ONLINE SALES OF BEAUTY AND BABY PRODUCTS 
Active 	BUS2017-02171	CA FLOORING WHOLESALERS INC 	3111 E MIRALOMA AVE, 92806 	WHOLESALE OF FLOORING MATERIALS **NOT A STATE LICENSED CONTRACTOR**  
Active 	BUS2017-02172	RICARDO'S HAIR DESIGNS INC (DE LA C 	5564 E SANTA ANA CANYON RD, 92807 	INDEPENDENT MANICURIST  
Currently Renewing 	BUS2017-02173	RICARDO'S HAIR DESIGNS INC (DE LA C 	5564 E SANTA ANA CANYON RD, 92807 	INDEPENDENT MANICURIST  
Currently Renewing 	BUS2017-02174	CHEEK MACHINE CORP 	1312 S ALLEC ST, 92805 	MANUFACTURING OF MACHINE PARTS 
Active 	BUS2017-02175	HUOT, LONG KIM & TAWNY TRAN 	1210 S STATE COLLEGE BLVD, 92806 	NON-RESIDENTIAL BUILDING OWNER (SQ FT 16416) 
Active 	BUS2017-02176	KWIKFIT TILE SYSTEMS INC 	2520 S FAIRVIEW ST A2, 45574 	Ceramic and Mosaic Tile Contractor 
Currently Renewing 	BUS2017-02177	LINSCOTT LAW & GREENSPAN ENGINEERS 	2 EXECUTIVE CIR 250, 47521 	TRAFFIC ENGINEERING 
Currently Renewing 	BUS2017-02178	AMERICAN LEGION ANAHEIM POST 72 INC 	936 N LEMON ST, 92805 	NONPROFIT FOR HELPING VETERANS AND THEIR FAMILIES THROUGHOUT THE COMMUNITY 
Currently Renewing 	BUS2017-02179	CIVILTEC ENGINEERING INC 	118 LIME AVE, 83592 	CIVIL ENGINEERING SERVICES *3 EMPLOYEES* 
Currently Renewing 	BUS2017-02180	COMPLETE PLUMBING HEATING AND AIR I 	1121 WOODCREST AVE, 47380 	Warm-Air Heating, Ventilating and Air Cond 
Currently Renewing 	BUS2017-02181	UNITY CONSTRUCTION 	14658 MAGNOLIA BLVD 106, 87870 	General Building Contractor 
Currently Renewing 	BUS2017-02182	ALPHA ONE LASER TAG 	570 S GILMAR ST, 92802 	OFFICE USE ONLY FOR OFF-SITE MOBILE GAME SERVICES (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02183	RUSSELL WESTBROOK HYUNDAI OF ANAHEI 	1271 S AUTO CENTER DR, 92806 	NEW AND USED AUTOMOTIVE DEALERSHIP 
Active 	BUS2017-02184	T L C HOSPICE INC 	2323 W LINCOLN AVE 209, 92801 	OFFICE USE FOR OFF-SITE HOSPICE CARE 
Currently Renewing 	BUS2017-02185	CLIMA TECH LLC 	3610 PLACENTIA CT, 46285 	Warm-Air Heating, Ventilating and Air Cond 
Currently Renewing 	BUS2017-02186	SHELLY K MATTINGLY 	2962 BLUEGRASS LN, 45788 	RETAIL SALES OF HAND SEW BABY ITEMS  
Active 	BUS2017-02187	JANITORIAL MARTHA 	320 N PARK VISTA ST 118, 92806 	OFFICE USE ONLY FOR OFF-SITE CLEANING SERVICES (NO EMPLOYEES)  
Currently Renewing 	BUS2017-02188	CT DESIGN INC 	15201 WESTSTATE ST, 48938 	General Building Contractor 
Active 	BUS2017-02189	SPOT ON INTERPRETING 	1835 S MANCHESTER AVE 115, 92802 	OFFICE USE ONLY FOR OFF-SITE INTERPRETING & TRANSLATION SERVICES (NO EMPLOYEES) 
Finaled 	BUS2017-02190	B M DESIGN 	2242 E WALNUT PKWY, 89184 	DESIGN SERVICES (NO EMPLOYEES) 
Finaled 	BUS2017-02191	SST CONSTRUCTION LLC 	2731 CITRUS RD D, 66359 	General Building Contractor 
Currently Renewing 	BUS2017-02192	OMNECO 	809 BOWSPRIT RD 104, 94278 	General Engineering Contractor 
Currently Renewing 	BUS2017-02193	SERVICE TEAM OF PROFESSIONALS TEMEC 	33794 WAGON TRAIN DR, 46775 	General Building Contractor 
Active 	BUS2017-02194	LAZER XPRESS 	705 E BARBARA AVE, 89184 	SERVICES FOR LASER TAG COURSE SET UP *2 EMPLOYEES* 
Currently Renewing 	BUS2017-02195	POWER & AIR MECHANICAL INC 	1804 S CALIFORNIA ST, 85701 	Electrical Contractor 
Currently Renewing 	BUS2017-02196	LOGIC CONSULTING GROUP LLC 	7517 E CALLE DURANGO, 92808 	OFFICE ONLY FOR STAFFING AND RECRUITMENT AGENCY 
Active 	BUS2017-02197	MINER LTD 	9086 ROSECRANS AVE, 38676 	DOORS, GATES AND ACTIVATING DEVICES 
Active 	BUS2017-02198	ENTERPRISE RENT A CAR 	5401 E LA PALMA AVE, 92807 	CAR RENTAL FOR ANAHEIM HILLS JAGUAR LANDROVER 
Active 	BUS2017-02199	LEGACY AIR HVAC LLC 	1230 N SIMON CIR A, 92806 	Electrical Contractor 
Active 	BUS2017-02200	CRAFTING OPPORTUNITY 	2130 W CRESCENT AVE 1010, 92801 	OFFICE USE ONLY FOR ONLINE SALES OF VITAMIN&SUPPLEMENTS 
Currently Renewing 	BUS2017-02201	R M HOT STAR INC 	7540 GARVEY AVE, 00000 	FRIED CHICKEN RESTAURANT 
Active 	BUS2017-02202	MENJIVARS IT CONSULTING 	2013 E WILSHIRE 6, 45788 	IT CONSULTING  
Received 	BUS2017-02203	KEBRON INTERNATIONAL CHURCH 	1770 W CERRITOS AVE, 92804 	CHURCH *SUBLEASE*  
Currently Renewing 	BUS2017-02204	LIFE WATER POOLS CO 	5344 LA MADERA AVE, 64541 	Swimming Pool Contractor 
Finaled 	BUS2017-02205	WWW.CAHERBANLIFE.COM 	235 W ORANGEWOOD AVE 21B, 92802 	OFFICE USE ONLY FOR SALES OF VITAMIN SUPPLEMENTS AND PRODUCTS 
Active 	BUS2017-02206	GOST VAPOR 	1729 S CLAUDINA WAY, 92805 	STORAGE & PACKAGING 
Currently Renewing 	BUS2017-02207	JEREMY BYRNES 	1188 N FOUNTAIN WAY A, 92806 	STORAGE 
Active 	BUS2017-02208	SANMICRO INC 	1265 N MANASSERO ST 302, 92805 	WHOLESALE ONLINE TRADING COMPUTER PARTS 
Currently Renewing 	BUS2017-02209	J W BRUINS ARCHITECT 	11932 SPRINGDALE ST, 45301 	ARCHITECTURAL SERVICE **NO EMPLOYEES/INDEPENDENTS** 
Currently Renewing 	BUS2017-02210	RANDALL B KAM DDS 	3340 W BALL RD G,  	DENTAL OFFICE (1 EMPLOYEE) 
Active 	BUS2017-02211	JEFF SCHULZE 	1320 N MILLER ST H, 92806 	PERSONAL INDOOR STORAGE (NO EMPLOYEES) 
Finaled 	BUS2017-02212	BRYAN D MC DANIEL INC 	2618 SAN MIGUEL DR 326, 47234 	Electrical Contractor 
Currently Renewing 	BUS2017-02213	PASSION MASSAGE (TONG, TAMMY T) 	1877 W KATELLA AVE, 92804 	MASSAGE TECHNICIAN (TONG, TAMMY T DUONG) CMTC #63527 EXP: 05/10/2019 
Currently Renewing 	BUS2017-02214	LINEYS MONEY TRANSFER SERVICES 	1101 W LINCOLN AVE 185, 92801 	OFFICE USE FOR MONEY TRANSFER SERVICES INSIDE LINEYS HAIR SALON (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02215	SUSHI AND TERIYAKI 	5120 E LA PALMA AVE 101, 92807 	FAST FOOD RESTAURANT 
Currently Renewing 	BUS2017-02216	J K S K INC 	202 N KINGSLEY DR, 33844 	Electrical Contractor 
Active 	BUS2017-02217	SMART CARRIER 	629 W VERMONT AVE 6B, 92805 	OFFICE USE ONLY FOR ELECTRONIC REPAIR AND COURIER SERVICES  
Active 	BUS2017-02218	CUTTING EDGE PROPERTY MANAGEMENT IN 	700 S EUCLID ST, 92802 	REAL ESTATE SERVICES (3 EMPLOYEES) 
Active 	BUS2017-02219	DIANE DORETHY SAMIA DESIGN 	121 S SHAKESPEARE ST, 92806 	OFFICE USE ONLY FOR INTERIOR DESIGN SERVICES (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02221	X-FACTOR COMMUNICATIONS, INC 	5606 E LA PALMA AVE, 92807 	WAREHOUSE WITH ACCESSORY OFFICE USE FOR CONTRACTOR SERVICES 
Finaled 	BUS2017-02222	GATE HARDWOOD FLOORS INC 	335 PASADENA AVE, 45418 	Flooring and Floor Covering 
Currently Renewing 	BUS2017-02223	SERVCO INC 	18009 SKY PARK J, 47521 	General Building Contractor 
Currently Renewing 	BUS2017-02220	H W D FITNESS CAFE 	2883 W LINCOLN AVE, 92801 	CAFE (MAX 20 SEATS/10 TABLES) 
Currently Renewing 	BUS2017-02224	AIR CARESAVER 	963 FAIRWAY DR, 83311 	Warm-Air Heating, Ventilating and Air Cond 
Currently Renewing 	BUS2017-02225	TRI - BROS BUILDERS INC 	26100 NEWPORT RD A12, 96727 	General Building Contractor 
Active 	BUS2017-02226	KD CUSTOMS INC 	1161 N COSBY WAY O,P,Q, 92806 	AUTOMOTIVE STORAGE 
Active 	BUS2017-02227	PLATINUM BUILDERS 	1765 S RAINIER CT, 45631 	General Building Contractor 
Currently Renewing 	BUS2017-02228	FFSKY2 	1588 S ANAHEIM BLVD C, 92805 	WAREHOUSING, WHOLESALES AND ON-LINE RETAIL SALES OF ELECTRONIC GOODS 
Currently Renewing 	BUS2017-02229	GEVORK CONSULTING ENGINEERING 	285 E IMPERIAL HWY 208, 45788 	ENGINEERING DESIGN 
Active 	BUS2017-02230	JOSE MARTINEZ TREE SERVICE INC 	1440 S STATE COLLEGE BLVD 3D, 92806 	TREE SERVICE CONTRACTOR  
Currently Renewing 	BUS2017-02231	LANG CONSTRUCTION 	8504 FIRESTONE BLVD 332, 37730 	General Building Contractor 
Finaled 	BUS2017-02232	NEYRA ARCHITECT INC 	11649 MOUNT WHITNEY CRT, 49413 	ARCHITECT 
Currently Renewing 	BUS2017-02233	WILBANKS ELECTRIC 	4613 ASHWORTH ST, 34217 	Electrical Contractor 
Currently Renewing 	BUS2017-02234	CALIFORNIA FIRST REMODELING INC 	4157 W 5TH ST 228, 33844 	General Building Contractor 
Currently Renewing 	BUS2017-02235	ALL PRO MAINTENANCE 	220 N CRESCENT WAY C, 92805 	HANDY MAN & JANITORIAL SERVICE (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02236	GOLDEN STAR LIMOUSINES 	541 N CLEMSON DR,  	HOME OFFICE USE ONLY FOR LIMOUSINE SERVICE 
Active 	BUS2017-02237	MARPAN CORPORATION 	1750 N CEDAR GLENN DR D,  	OFFICE USE ONLY FOR TRUCKING SERVICE 
Currently Renewing 	BUS2017-02238	D & M LOCKSMITH 	405 S MAGNOLIA AVE, 92804 	LOCKSMITH SHOP (NO EMPLOYEES)  
Finaled 	BUS2017-02239	P D ENGINEERS 	1717 E BIRCH ST, 49901 	ENGINEERING CONSULTING SERVICE 
Finaled 	BUS2017-02240	WELLNESS MASSAGE 	1839 W KATELLA AVE B, 92804 	MASSAGE ESTABLISHMENT OPERATOR (LE, TRAM) CMTC #31513 EXP: 03/20/2018  
Finaled 	BUS2017-02241	EDGMONT CONSTRUCTION 	11150 REGENT ST 3, 33844 	General Building Contractor 
Currently Renewing 	BUS2017-02243	GENESIS HEATING AND AIR CONDITIONIN 	1170 W LOCUST AVE, 92802 	HVAC CONTRACTOR 
Currently Renewing 	BUS2017-02244	WIN THAI CUISINE 	1151 N EUCLID ST D & E, 92801 	THAI RESTAURANT 
Finaled 	BUS2017-02245	EID FESTIVAL NET CORP 	350 W CENTER STREET PROMENADE, 92805 	EID FESTIVAL @ CENTER ST PROMENADE (SEP2017-00064) ** 10 RIDES & 4 FOOD BOOTHS; NO GAMES (JULY 1 & 2 2017) 
Finaled 	BUS2017-02246	SPUR PRODUCTIONS 	98 4TH ST 323, 22395 	FILM PRODUCTION @ THE ARTIC STATION 06/30/2017 *16 EMPLOYEES* 
Active 	BUS2017-02247	AREA 51 POWER 	20326 LAGUNA CANYON RD, 43769 	ELECTRICAL SERVICES (NO EMPLOYEES) (NOT STATE LICENSED) 
Currently Renewing 	BUS2017-02248	HYAS GROUP LLC 	108 NW 9TH AVE 203, 36670 	RETIRMENT PLAN CONSULTING 
Currently Renewing 	BUS2017-02249	KIDZ BAR 	703 S DALE AVE, 92804 	OFFICE USE FOR MOBILE CONCESSIONS 
Finaled 	BUS2017-02250	DOTTED MAKEUP SHOP 	249 S MCCOY RD, 45498 	RETAIL SALES OF COSMETICS 
Active 	BUS2017-02251	PRECISION WINDOW & CLEANING SERVICE 	2149 W PACIFIC AVE, 92804 	OFFICE USE ONLY FOR OFF-SITE WINDOW CLEANING/WASHING, HOME CLEANING & SCREEN REPAIR (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02252	KENNYS LIQUOR 	3070 W LINCOLN AVE A,B, 92804 	LIQUOR STORE/MARKET  
Finaled 	BUS2017-02253	JERRY HERBERT ROOFING INC 	12153 11TH ST, 47970 	Roofing Contractor 
Active 	BUS2017-02254	SNELLING EMPLOYMENT LLC 	1153 N OCEAN CIR,  	FULL SERVICE TEMPORARY STAFFING AGENCY, PAYROLL/BILLING SERVICES  
Finaled 	BUS2017-02255	BEST MOM LLC 	99 SYMPHONY WAY, 49688 	FILM PRODUCTION SERVICES JULY 26 THRU AUGUST 12, 2017 AT 1045 N ARMANDO ST SIOTE B AND AT 1970 S SANTA CRUZ 
Finaled 	BUS2017-02256	B & L TAX GROUP 	300 S HARBOR BLVD 808, 92805 	TAX ACCOUNTING SERVICES AND LAW PRACTICE 
Currently Renewing 	BUS2017-02257	G S K TATTOO 	2000 W LINCOLN AVE 203,204, 92804 	TATTOO PARLOR (ALL EMPLOYEES ARE INDEPENDENT) 
Finaled 	BUS2017-02258	INCON INSULATION CONTRACTORS 	13221 SUNLIT CT, 42424 	Insulation and Acoustical  
Currently Renewing 	BUS2017-02259	SMART AIR INC 	26500 AGOURA RD 404, 82233 	Warm-Air Heating, Ventilating and Air Cond 
Finaled 	BUS2017-02260	LALO'S PLUMBING INC 	9121 LEV ST, 88973 	Plumbing Contractor 
Currently Renewing 	BUS2017-02261	HICCUPS 	1019 N MAGNOLIA AVE C,  	RESTAURANT 
Currently Renewing 	BUS2017-02262	SPICE BITES 	607 S ELDER ST, 92805 	OFFICE USE ONLY FOR OFF-SITE SALES OF FOOD AT FESTIVALS/FAIRS/ FARMER MARKETS (NO EMPLOYEES) 
Finaled 	BUS2017-02263	1ST CHOICE COVERAGE FIRM 	1422 W GLEN DR, 92801 	OFFICE USE ONLY FOR OFFSITE SUPPORTIVE SERVICES (NO EMPLOYEES) (CANNOT HOLD MEETINGS ONSITE) 
Finaled 	BUS2017-02264	ALOHA THERAPY 	308 W BALL RD A, 92805 	MASSAGE ESTABLISHMENT OPERATOR **MES2017-00021** 
Currently Renewing 	BUS2017-02265	JTEC SOLUTIONS INC 	751 S WEIR CANYON RD 157, 92807 	DOORS, GATES AND ACTIVATING DEVICES 
Finaled 	BUS2017-02266	ALOHA THERAPY (LE, KIM) 	308 W BALL RD A, 92805 	MASSAGE TECHNICIAN (LE, KIM)  
Finaled 	BUS2017-02267	ALOHA THERAPY (SMITH, HANNAH) 	308 W BALL RD A, 92805 	INDEPENDENT RECEIPTIONIST (SMITH, HANNAH) ***NOT ALLOWED TO GIVE MASSAGES**  
Finaled 	BUS2017-02268	ALOHA THERAPY (TRUONG, MANHUYEN) 	308 W BALL RD A, 92805 	MASSAGE TECHNICIAN (TRUONG, MANHUEN)  
Currently Renewing 	BUS2017-02269	SACRED ANCHOR TATTOO COMPANY 	1827 W KATELLA AVE B, 92804 	TATTOO SHOP/BODY ART (ALL EMPLOYEES ARE INDEPENDENT) 
Currently Renewing 	BUS2017-02270	SHEENA BHATIA DDS INC 	3476 E ORANGETHORPE AVE, 92806 	DENTAL CLINIC (4 EMPLOYEES) 
Currently Renewing 	BUS2017-02271	EASYTURF INC 	2750 LA MIRADA DR, 97241 	Landscaping Contractor (artificial turf installation and retail) 
Active 	BUS2017-02272	C W DRIVER LLC 	1030 W KATELLA AVE, 92802 	General Building Contractor 
Currently Renewing 	BUS2017-02273	A J GLASS 	2985 E MIRALOMA AVE J, 92806 	GLASS BLOWING MANUFACTURING *MEDICAL MARIJUANA PROHIBITED* 
Currently Renewing 	BUS2017-02274	MEGA AIR CO INC 	1320 W EL SEGUNDO BLVD B, 07681 	Warm-Air Heating, Ventilating and Air Cond 
Currently Renewing 	BUS2017-02275	PUMPMAN LLC 	5020 BLEECKER ST, 00000 	Pump system service, maintenance, installation & repairs 
Currently Renewing 	BUS2017-02276	K S DIRECT LLC 	307 N EUCLID WAY G1, 92801 	STAINLESS STEEL DISTRIBUTOR 
Active 	BUS2017-02277	CARGO EXPRESS FREIGHT CORP 	741 E BALL RD 202, 92805 	TRANSPORTATION SERVICE (3 EMPLOYEES) 
Currently Renewing 	BUS2017-02278	D C S PLASTERING INC 	2851 E VIA MARTENS, 92806 	Lathing and Plastering Contractor 
Active 	BUS2017-02279	WELD RACING LLC 	1161 N KNOLLWOOD CIR, 92801 	WHOLESALE PERFORMANCE WHEELS 
Currently Renewing 	BUS2017-02280	ODOR ELIMINATOR INC 	3201 ROSEWOOD AVE, 33844 	CLEANING AND DISINFECTING SERVICES 
Active 	BUS2017-02281	MUIR CHASE PLUMBING CO INC 	741 E BALL RD 105, 92805 	WAREHOUSE WITH OFFICE USE FOR PLUMBING CONTRACTOR 
Currently Renewing 	BUS2017-02282	LUZ MARIA BATALLA 	235 W ORANGEWOOD AVE 21D, 92802 	OFFICE USE ONLY FOR JANITORIAL SERVICES (NO EMPLOYEES)  
Active 	BUS2017-02283	JEWLEE YU 	1040 N GROVE ST C,  	STORAGE 
Active 	BUS2017-02284	OSAMA EL ASSADI 	708 N VALLEY ST H, 92801 	STORAGE USE ONLY 
Currently Renewing 	BUS2017-02286	J B RIOS CONSTRUCTION 	576 S 6TH AVE, 28928 	General Building Contractor 
Active 	BUS2017-02287	CITY WIDE CONSTRUCTION INC 	924 S GREVILLE AVE C, 37501 	General Building Contractor 
Currently Renewing 	BUS2017-02288	ORANGE COUNTY BONSAI SOCIETY INC 	6282 SHIELDS DR, 45363 	NON PROFIT ORGANIZATION FOR TRAINING & PRACTICE OF THE ART OF BONSAI 
Finaled 	BUS2017-02289	M J C ARCHITECT 	1919 E SANTA ANA ST, 92805 	ARCHITECT  
Finaled 	BUS2017-02290	J T S INSPECTION SERVICES 	146 S BONNIE BEACH PL, 33844 	FOOTING SERVICES  
Finaled 	BUS2017-02291	SOAPIA LORIN LLC  	809 E ORANGEWOOD AVE H146, 92802 	OFFICE USE ONLY FOR ONLINE AND OFFSITE RETAIL SALES OF HANDMADE SOAP  
Currently Renewing 	BUS2017-02292	T E S TRANSPORTATION  	2252 W LINCOLN AVE G3, 92804 	HOME OFFICE USE FOR NON EMERGENCY TRANSPORTATION SERVICES 
Currently Renewing 	BUS2017-02293	LOUS TRAINING SYSTEMS 	1643 W CUTTER RD,  	OFFICE USE ONLY FOR OFFSITE COACHING SERVICES WITH ONLINE/OFFISITE RETAIL SALES OF SPORTING GOODS (NO EMPLOYEES) 
Active 	BUS2017-02294	CHURCH OF POWER 	1026 S EAST ST, 92805 	CHURCH 
Currently Renewing 	BUS2017-02295	FLOREZ ENGINEERING INC 	11440 W BERNARDO CT 157, 95710 	ENGINEERING SERVICES (1 EMPLOYEE) 
Currently Renewing 	BUS2017-02296	INFUSION DOCTOR 	1440 S ANAHEIM BLVD C32, 92805 	WELLNESS SERVCIES 
Active 	BUS2017-02297	KWIK RIDGE INC 	2929 E LA CRESTA AVE, 92806 	MANUFACTURING OF METAL ROOF ACCESSORIES 
Active 	BUS2017-02298	ANAHEIM ALTERATION 	1440 S ANAHEIM BLVD F16, 92805 	ALTERATION OF CLOTHING (NO EMPLOYEES) 
Active 	BUS2017-02299	NEXERA MEDIA CORP  	8175 E KAISER BLVD, 92808 	OFFICE USE FOR MARKETING SERVICES (1 EMPLOYEE) 
Active 	BUS2017-02300	B M S CAT INC 	1321 N BLUE GUM ST,  	General Building Contractor 
Active 	BUS2017-02301	CUSTOMLINE 	954 N AMELIA AVE B, 45922 	Doors, Gates and Activating Devices 
